id,curr_year,promotion_date,status,duration,created_at,updated_at,modified_by_id,student_id
2333,1,,new_admission,3,,,,10923
2334,1,,new_admission,4,,,,10924
2335,1,,new_admission,3,,,,10925
2344,1,,new_admission,2,,,,10934
2345,1,,new_admission,4,,,,10935
2347,1,,new_admission,4,,,,10937
2348,1,,new_admission,2,,,,10938
2350,1,,new_admission,3,,,,10940
2351,1,,new_admission,4,,,,10941
2353,1,,new_admission,2,,,,10943
2357,1,,new_admission,3,,,,10947
2358,1,,new_admission,4,,,,10948
2359,1,,new_admission,4,,,,10949
2361,1,,new_admission,3,,,,10951
2365,1,,new_admission,3,,,,10955
2367,1,,new_admission,3,,,,10957
